direction,pulse_us,angle_deg,valid
U,1205,63.633,1
U,1206,63.545,1
U,1207,63.633,1
U,1208,63.721,1
U,1209,63.984,1
U,1210,64.160,1
U,1211,64.336,1
U,1212,64.336,1
U,1213,64.424,1
U,1214,64.600,1
U,1215,64.600,1
U,1216,64.687,1
U,1217,64.951,1
U,1218,65.127,1
U,1219,65.303,1
U,1220,65.303,1
U,1221,65.303,1
U,1222,65.303,1
U,1223,65.303,1
U,1224,65.566,1
U,1225,65.830,1
U,1226,66.094,1
U,1227,66.094,1
U,1228,66.006,1
U,1229,66.182,1
U,1230,66.270,1
U,1231,66.270,1
U,1232,66.445,1
U,1233,66.709,1
U,1234,66.797,1
U,1235,66.797,1
U,1236,66.797,1
U,1237,66.885,1
U,1238,67.061,1
U,1239,67.061,1
U,1240,67.061,1
U,1241,67.061,1
U,1242,67.148,1
U,1243,67.324,1
U,1244,67.412,1
U,1245,67.500,1
U,1246,67.500,1
U,1247,67.588,1
U,1248,67.764,1
U,1249,67.764,1
U,1250,67.764,1
U,1251,67.764,1
U,1252,67.939,1
U,1253,68.291,1
U,1254,68.555,1
U,1255,68.643,1
U,1256,68.643,1
U,1257,68.643,1
U,1258,68.643,1
U,1259,68.643,1
U,1260,68.818,1
U,1261,69.082,1
U,1262,69.258,1
U,1263,69.170,1
U,1264,69.258,1
U,1265,69.434,1
U,1266,69.434,1
U,1267,69.434,1
U,1268,69.434,1
U,1269,69.434,1
U,1270,69.697,1
U,1271,69.961,1
U,1272,70.225,1
U,1273,70.400,1
U,1274,70.400,1
U,1275,70.313,1
U,1276,70.313,1
U,1277,70.313,1
U,1278,70.488,1
U,1279,70.752,1
U,1280,70.840,1
U,1281,70.840,1
U,1282,70.840,1
U,1283,70.928,1
U,1284,70.928,1
U,1285,71.016,1
U,1286,71.191,1
U,1287,71.455,1
U,1288,71.543,1
U,1289,71.455,1
U,1290,71.455,1
U,1291,71.455,1
U,1292,71.543,1
U,1293,71.807,1
U,1294,72.070,1
U,1295,72.334,1
U,1296,72.422,1
U,1297,72.422,1
U,1298,72.422,1
U,1299,72.422,1
U,1300,72.422,1
U,1301,72.510,1
U,1302,72.598,1
U,1303,72.686,1
U,1304,72.861,1
U,1305,73.037,1
U,1306,73.213,1
U,1307,73.389,1
U,1308,73.564,1
U,1309,73.652,1
U,1310,73.652,1
U,1311,73.652,1
U,1312,73.740,1
U,1313,73.740,1
U,1314,73.740,1
U,1315,74.004,1
U,1316,74.268,1
U,1317,74.443,1
U,1318,74.443,1
U,1319,74.443,1
U,1320,74.443,1
U,1321,74.443,1
U,1322,74.443,1
U,1323,74.443,1
U,1324,74.443,1
U,1325,74.619,1
U,1326,74.883,1
U,1327,75.059,1
U,1328,74.971,1
U,1329,75.146,1
U,1330,75.234,1
U,1331,75.322,1
U,1332,75.410,1
U,1333,75.410,1
U,1334,75.410,1
U,1335,75.410,1
U,1336,75.410,1
U,1337,75.498,1
U,1338,75.762,1
U,1339,75.850,1
U,1340,75.850,1
U,1341,75.938,1
U,1342,76.025,1
U,1343,76.201,1
U,1344,76.113,1
