pulse_us,angle_deg,valid
402,-12.217,1
401,-12.480,1
400,-12.744,1
399,-12.832,1
398,-12.832,1
397,-13.008,1
396,-13.184,1
395,-13.184,1
394,-13.184,1
393,-13.447,1
392,-13.711,1
391,-13.975,1
390,-14.150,1
389,-14.063,1
388,-14.063,1
387,-14.063,1
386,-14.063,1
385,-14.150,1
384,-14.414,1
383,-14.678,1
382,-14.766,1
381,-14.766,1
380,-14.941,1
379,-15.029,1
378,-15.029,1
377,-15.029,1
376,-14.941,1
375,-15.117,1
374,-15.381,1
373,-15.469,1
372,-15.469,1
371,-15.732,1
370,-15.820,1
369,-15.908,1
368,-15.908,1
367,-16.084,1
366,-16.348,1
365,-16.611,1
364,-16.699,1
363,-16.611,1
362,-16.611,1
361,-16.611,1
360,-16.611,1
359,-16.699,1
358,-16.963,1
357,-17.314,1
356,-17.402,1
355,-17.314,1
354,-17.402,1
353,-17.578,1
352,-17.754,1
351,-17.754,1
350,-17.754,1
349,-17.842,1
348,-18.018,1
347,-18.281,1
346,-18.457,1
345,-18.457,1
344,-18.457,1
343,-18.457,1
342,-18.457,1
341,-18.457,1
340,-18.457,1
339,-18.457,1
338,-18.457,1
337,-18.457,1
336,-18.457,1
335,-18.457,1
334,-18.457,1
333,-18.457,1
332,-18.457,1
331,-18.457,1
330,-18.457,1
329,-18.457,1
1501,90.088,1
1502,90.088,1
1503,90.000,1
1504,90.000,1
1505,90.088,1
1506,90.264,1
1507,90.264,1
1508,90.264,1
1509,90.264,1
1510,90.527,1
1511,90.791,1
1512,90.879,1
1513,90.879,1
1514,90.879,1
1515,91.055,1
1516,91.055,1
1517,91.143,1
1518,91.143,1
1519,91.406,1
1520,91.582,1
1521,91.670,1
1522,91.582,1
1523,91.846,1
1524,92.021,1
1525,92.109,1
1526,92.021,1
1527,92.109,1
1528,92.021,1
1529,92.021,1
1530,92.197,1
1531,92.373,1
1532,92.549,1
1533,92.725,1
1534,92.812,1
1535,92.725,1
1536,92.725,1
1537,92.725,1
1538,92.812,1
1539,92.725,1
1540,92.812,1
1541,92.988,1
